[2023-09-05 23:28:04,689] video_summarizer - INFO - Loading tokenizer and model...
[2023-09-05 23:28:05,184] video_summarizer - INFO - Model not available in the best model directory. Check model trainer artifacts..
[2023-09-05 23:28:05,185] video_summarizer - INFO - Model not available in the artifacts/model_trainer and best model directory. Check model trainer artifacts..
[2023-09-05 23:28:23,694] video_summarizer - INFO - Tokenizer and model loaded from the best directory
[2023-09-05 23:28:23,790] werkzeug - WARNING -  * Debugger is active!
[2023-09-05 23:28:23,810] werkzeug - INFO -  * Debugger PIN: 100-514-523
[2023-09-05 23:28:27,138] werkzeug - INFO - 127.0.0.1 - - [05/Sep/2023 23:28:27] "GET / HTTP/1.1" 200 -
[2023-09-05 23:28:56,502] video_summarizer - INFO - Youtube Video downloaded to uploads/Pytorch Bidirectional LSTM example.3gpp
[2023-09-05 23:28:57,745] werkzeug - INFO - 127.0.0.1 - - [05/Sep/2023 23:28:57] "[35m[1mPOST /transcribe HTTP/1.1[0m" 500 -
[2023-09-05 23:28:57,847] werkzeug - INFO - 127.0.0.1 - - [05/Sep/2023 23:28:57] "[36mGET /transcribe?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
[2023-09-05 23:28:58,094] werkzeug - INFO - 127.0.0.1 - - [05/Sep/2023 23:28:58] "[36mGET /transcribe?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
[2023-09-05 23:28:58,422] werkzeug - INFO - 127.0.0.1 - - [05/Sep/2023 23:28:58] "[36mGET /transcribe?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[2023-09-05 23:28:58,686] werkzeug - INFO - 127.0.0.1 - - [05/Sep/2023 23:28:58] "[36mGET /transcribe?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[2023-09-05 23:29:39,691] werkzeug - INFO -  * Detected change in 'c:\\users\\arkab\\documents\\video_to_speech\\src1\\components\\video_to_subtitle.py', reloading
