[2023-09-05 23:32:40,859] video_summarizer - INFO - Loading tokenizer and model...
[2023-09-05 23:32:41,908] video_summarizer - INFO - Model not available in the best model directory. Check model trainer artifacts..
[2023-09-05 23:32:41,909] video_summarizer - INFO - Model not available in the artifacts/model_trainer and best model directory. Check model trainer artifacts..
[2023-09-05 23:32:53,110] video_summarizer - INFO - Tokenizer and model loaded from the best directory
[2023-09-05 23:32:53,143] werkzeug - WARNING -  * Debugger is active!
[2023-09-05 23:32:53,159] werkzeug - INFO -  * Debugger PIN: 816-508-518
[2023-09-05 23:33:14,945] video_summarizer - INFO - Youtube Video downloaded to uploads/Pytorch Bidirectional LSTM example.3gpp
[2023-09-05 23:33:16,164] video_summarizer - INFO - Generating subtitles for Pytorch Bidirectional LSTM example.wav... This might take a while.
[2023-09-05 23:34:04,106] werkzeug - INFO - 127.0.0.1 - - [05/Sep/2023 23:34:04] "[35m[1mPOST /transcribe HTTP/1.1[0m" 500 -
[2023-09-05 23:34:04,213] werkzeug - INFO - 127.0.0.1 - - [05/Sep/2023 23:34:04] "[36mGET /transcribe?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
[2023-09-05 23:34:04,465] werkzeug - INFO - 127.0.0.1 - - [05/Sep/2023 23:34:04] "[36mGET /transcribe?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
[2023-09-05 23:34:04,789] werkzeug - INFO - 127.0.0.1 - - [05/Sep/2023 23:34:04] "[36mGET /transcribe?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[2023-09-05 23:34:05,053] werkzeug - INFO - 127.0.0.1 - - [05/Sep/2023 23:34:05] "[36mGET /transcribe?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[2023-09-05 23:34:56,008] werkzeug - INFO -  * Detected change in 'C:\\Users\\arkab\\Documents\\Video_To_Speech\\src1\\components\\video_to_subtitle.py', reloading
